"","Signature.1","Signature.2","Signature.3","Signature.4","Signature.5","Signature.6","Signature.7","Signature.8","Signature.9","Signature.10","Signature.11","Signature.12","Signature.13","Signature.14","Signature.15","Signature.16","Signature.17","Signature.18","Signature.19","Signature.20","Signature.21","Signature.22","Signature.23","Signature.24","Signature.25","Signature.26","Signature.27","Signature.28","Signature.29","Signature.30","Cisplatin..Gallus.gallus","Cyclophosphamide..Gallus.gallus","Etoposide..Gallus.gallus","Cisplatin..C..Elegans.wildtype","Cisplatin..C..Elegans.fan.1","Cisplatin..C..Elegans.fcd.2","Cisplatin..C..Elegans.lig.4","Cisplatin..C..Elegans.lig.4..fcd.2","Cisplatin..C..Elegans.mus.81","Cisplatin..C..Elegans.polq.1","Cisplatin..C..Elegans.slx.1","Cisplatin..C..Elegans.xpf.1","Sample"
"80",0.0700286411731285,0,0.453402193177844,0,0.108780077782714,0,0,0.230461560800514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-139-6-3 all"
"106",0.0704827493041006,0,0.439227237784206,0,0,0,0,0.213757630750656,0,0,0,0,0,0,0,0.0749536722987384,0,0,0.0669107107980788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-167-13-9 all"
"65",0.071409253336768,0,0.479814839302051,0,0,0,0,0.18038449876264,0,0,0,0,0,0,0,0.142427684897056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504471517653577,0,0,0,0,0,0,0,0,0,"AOCS-126-1-5 all"
"46",0.0721048397999537,0,0.411650294865875,0,0,0,0,0.186778194299985,0,0,0,0,0,0,0,0.133920612651493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-104-1-6 all"
"104",0.0743782188919942,0,0,0.0827553958358245,0.192865844667275,0,0,0.21068418193723,0,0.0642185691253257,0,0,0.0543717101426942,0.0959946093376552,0,0,0,0.151496079598059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-165-1-X all"
"16",0.0751448015777059,0,0.434337709673145,0,0.0743546997780538,0,0,0.232685735077361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-065-1-9 all"
"39",0.0758063726705866,0,0.62020327493839,0,0,0,0,0.116759599042473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-093-8-4 all"
"37",0.076047422026472,0,0.559414569902898,0,0,0,0,0.159312100576228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-093-1-9 all"
"48",0.0784948829360827,0,0.433820070212354,0,0.123865379936472,0,0,0.209664905033905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525456988398347,0,0,0,0,0,0,0,0,0,"AOCS-106-1-1 all"
"50",0.078745046158972,0,0.501215996856164,0,0.0970910485206623,0,0,0.120796758917122,0,0,0,0,0,0,0,0.0714934757977058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-108-1-7 all"
"86",0.0798367182178009,0,0.483888719377859,0,0.0899089181303608,0,0,0.142220415577313,0,0,0,0,0,0,0,0.0832749166909524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-145-1-6 all"
"77",0.0814917889757183,0,0.446457538334754,0,0.132022629433533,0,0,0.196755457841195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-139-1-5 all"
"8",0.0825252462973464,0,0.368187069403669,0,0.214370138004181,0,0,0.18304474436279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-057-1-2 all"
"1",0.083279759411716,0,0.412648605136397,0,0,0,0,0.165038971982391,0,0,0,0,0.0605114405190813,0,0,0.144583815974918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-001-1-7 all"
"74",0.0836486523131266,0,0.445990456039218,0,0,0,0,0.197418127723389,0,0,0,0.0629198762796944,0,0,0,0.0727254758228784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-137-1-X all"
"85",0.0849904864845314,0,0.355338079074651,0,0,0,0,0.217484520281307,0,0,0,0,0.0654449245603695,0,0,0.0799350665151832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-144-1-3 all"
"93",0.0860013536119768,0,0.452030807042448,0,0,0,0,0.158963948378414,0,0,0,0,0,0,0,0.0712517548550679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-152-1-X all"
"103",0.0870093828636858,0,0.536905749031912,0,0,0,0,0.0777620601665045,0,0,0,0,0.0508265745049436,0,0,0.112967006037515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-164-1-7 all"
"84",0.0875752592826236,0,0.34210397774265,0,0,0,0,0.299588137114644,0,0,0,0,0,0,0,0.0809582291551007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-143-1-0 all"
"94",0.0918088545686613,0,0.490898738249164,0,0,0,0,0.147689710253492,0,0,0,0,0,0,0,0.104900092611399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-153-1-2 all"
"47",0.0928203390439463,0,0.416816123815069,0,0,0,0,0.235589311542986,0,0,0,0,0,0,0,0.097472856087154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-105-1-9 all"
"44",0.0940115802181041,0,0.117207373771031,0,0.357952240230443,0,0,0.271787826268795,0.0548673874016345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-096-1-7 all"
"55",0.0942168718818327,0,0.375757409005653,0,0,0,0,0.275229151469431,0,0,0,0,0,0,0,0.0684640083289111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508278305117834,0,0,0,0,0,0,0,0,"AOCS-114-1-8 all"
"4",0.0955377475170359,0,0.562217990324596,0,0.0502351228800975,0,0,0.0738776127710756,0,0,0,0,0,0,0,0.0855369172690061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-034-1-0 all"
"9",0.0967637172708231,0,0.395955514426264,0.0508174134860229,0,0,0,0.245028761671154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609939915759059,0,"AOCS-058-1-5 all"
"90",0.0996219089293917,0,0.56016262698627,0,0,0,0,0,0,0,0,0,0,0,0,0.123508988472929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-149-1-7 all"
"6",0.100085889144717,0.0727162585888964,0.276178071203628,0,0,0,0,0,0.0593958334483603,0,0,0,0.312742163448884,0,0,0.0924930419966389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-055-1-7 all"
"32",0.102867702234252,0,0.52284666582923,0,0,0,0,0.163189146170441,0,0,0,0,0,0,0,0.0875899722456268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-090-1-0 all"
"28",0.10558274174605,0,0.547774299471985,0,0.111397597127934,0,0,0.123346762572633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-086-1-5 all"
"22",0.10833958480984,0,0.294655004429215,0,0.191286563877069,0,0,0.208636061943957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-079-1-1 all"
"13",0.109115745432014,0,0.343412268771563,0,0,0,0,0.227055883484615,0,0,0,0,0,0,0,0.15542921584334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-063-1-3 all"
"7",0.110599983322514,0,0.481793907010432,0,0,0,0,0.234235544321555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-056-1-X all"
"83",0.112921646978507,0,0.404231712478558,0,0,0,0,0.134092821607363,0.07857846992864,0,0,0,0.100349902078647,0,0,0.0836408276562093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-142-3-5 all"
"112",0.120621019211379,0,0.486727818981448,0,0,0,0,0,0.0613673735921613,0,0,0,0,0,0,0.195828714102988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-170-3-5 all"
"111",0.12094277785797,0,0.480021984675067,0,0,0,0,0,0.065108654531646,0,0,0,0,0,0,0.194756263120449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-170-1-8 all"
"102",0.125534578122927,0,0.162630276578428,0,0.157949923233312,0,0,0.329207030554768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-163-1-4 all"
"57",0.129161192896123,0,0.283788103687126,0,0.182300106979605,0,0,0.18717549806289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714950750044208,0,0,0,0,0,0,0,0,0,"AOCS-116-1-3 all"
"53",0.132625125858644,0,0.353712668704174,0,0.113705352802874,0,0,0.2986003644881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-112-1-2 all"
"3",0.139086515456221,0.0520017838166679,0.162839539288693,0,0.257569131555006,0,0,0.114794268640364,0.0710770350005088,0,0,0,0.0834641548249016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535243669983572,0,0,0,0,0,0,0,0,0,"AOCS-005-1-8 all"
"27",0.139772695351581,0,0,0,0.314236145878202,0,0,0.248774490654949,0.0764801778485443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-085-1-2 all"
