EGAZ00001018558_2014_ICGC_IcgcOvarian_AOCS124_1DNA_1NormalBlood_ICGCDBPC20130205105_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	111GB	Aug 11, 2016 9:13:00 AM
EGAZ00001018559_2014_ICGC_IcgcOvarian_AOCS131_1DNA_7PrimaryTumour_ICGCDBPC20130205118_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	129GB	Aug 11, 2016 10:37:00 AM
EGAZ00001018560_2014_ICGC_IcgcOvarian_AOCS080_1DNA_1NormalBlood_ICGCDBPC20130205040_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	98GB	Aug 11, 2016 8:18:00 AM
EGAZ00001018561_2014_ICGC_IcgcOvarian_AOCS150_1DNA_1NormalBlood_ICGCDBPC20130205172_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	92GB	Aug 11, 2016 8:00:00 AM
EGAZ00001018562_2014_ICGC_131206_EXTERN_0043_AC29RDACXX.nopd.AOCS_056_ICGCDBLG2010062229TR.rsem.bam.aes	29GB	Aug 11, 2016 5:16:00 AM
EGAZ00001018563_2014_ICGC_IcgcOvarian_AOCS139_1DNA_1NormalBlood_ICGCDBPC20130205149_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	196GB	Aug 11, 2016 6:17:00 PM
EGAZ00001018564_2014_ICGC_IcgcOvarian_AOCS155_1DNA_1NormalBlood_ICGCDBPC20130701008_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	106GB	Aug 11, 2016 11:09:00 AM
EGAZ00001018565_2014_ICGC_IcgcOvarian_AOCS081_1DNA_1NormalBlood_ICGCDBPC20130205042_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	104GB	Aug 11, 2016 11:22:00 AM
EGAZ00001018566_2014_ICGC_131206_EXTERN_0045_AC2KJBACXX.nopd.AOCS_131_ICGCDBDE20131122031.rsem.bam.aes	24GB	Aug 11, 2016 5:19:00 AM
EGAZ00001018567_2014_ICGC_130906_D81P8DQ1_0157_C270DACXX.nopd.AOCS_119_ICGCDBDE20130916028.rsem.bam.aes	21GB	Aug 11, 2016 4:18:00 AM
EGAZ00001018568_2014_ICGC_130906_D81P8DQ1_0157_C270DACXX.nopd.AOCS_120_ICGCDBDE20130916029.rsem.bam.aes	23GB	Aug 11, 2016 8:18:00 AM
EGAZ00001018569_2014_ICGC_130906_D81P8DQ1_0157_C270DACXX.nopd.AOCS_079_ICGCDBDE20130916014.rsem.bam.aes	26GB	Aug 11, 2016 8:32:00 AM
EGAZ00001018570_2014_ICGC_IcgcOvarian_AOCS162_1DNA_1NormalBlood_ICGCDBDE20130904006_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	97GB	Aug 11, 2016 10:44:00 AM
EGAZ00001018571_2014_ICGC_130906_D81P8DQ1_0153_C2704ACXX.nopd.AOCS_094_ICGCDBDE20130916020.rsem.bam.aes	19GB	Aug 11, 2016 8:00:00 AM
EGAZ00001018572_2014_ICGC_130906_D81P8DQ1_0158_D2B80ACXX.nopd.AOCS_085_ICGCDBDE20130916018.rsem.bam.aes	31GB	Aug 11, 2016 11:13:00 AM
EGAZ00001018573_2014_ICGC_IcgcOvarian_AOCS096_1DNA_1NormalBlood_ICGCDBPC20130205071_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	101GB	Aug 11, 2016 3:14:00 PM
EGAZ00001018574_2014_ICGC_131206_EXTERN_0044_AC2JWTACXX.nopd.AOCS_116_ICGCDBDE20131122018.rsem.bam.aes	26GB	Aug 11, 2016 10:56:00 AM
EGAZ00001018575_2014_ICGC_IcgcOvarian_AOCS161_1DNA_7PrimaryTumour_ICGCDBDE20130904015_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	110GB	Aug 11, 2016 3:46:00 PM
EGAZ00001018576_2014_ICGC_IcgcOvarian_AOCS143_1DNA_7PrimaryTumour_ICGCDBPC20130205158_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	296GB	Aug 12, 2016 6:49:00 AM
EGAZ00001018577_2014_ICGC_IcgcOvarian_AOCS152_1DNA_7PrimaryTumour_ICGCDBPC20130205174_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	137GB	Aug 11, 2016 6:08:00 PM
EGAZ00001018578_2014_ICGC_IcgcOvarian_AOCS064_1DNA_12Ascites_ICGCDBPC20130205026_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	165GB	Aug 11, 2016 10:31:00 PM
EGAZ00001018579_2014_ICGC_IcgcOvarian_AOCS092_1DNA_7PrimaryTumour_ICGCDBPC20130205061_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	136GB	Aug 11, 2016 8:14:00 PM
