"","Signature.1","Signature.2","Signature.3","Signature.4","Signature.5","Signature.6","Signature.7","Signature.8","Signature.9","Signature.10","Signature.11","Signature.12","Signature.13","Signature.14","Signature.15","Signature.16","Signature.17","Signature.18","Signature.19","Signature.20","Signature.21","Signature.22","Signature.23","Signature.24","Signature.25","Signature.26","Signature.27","Signature.28","Signature.29","Signature.30","Cisplatin","Signature 1","Signature 2","Signature 3","Signature 4","Signature 5","Signature 6","Signature 7","Signature 8","Signature 9","Signature 10","Signature 11","Signature 12","Signature 13","Signature 14","Signature 15","Signature 16","Signature 18","Signature 19","Signature 20","Signature 21","Signature 23","Signature 24","Signature 25","Signature 26","Signature 29","Signature 30","Sample"
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327335666082881,NA,0.380164865136792,0,0,0,NA,0.179663330794659,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-064-1/SP101552 primary "
"81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328424325341302,NA,0.486664253672582,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0717296097139696,0,0,0,"AOCS-091-1/SP101622 primary-low-vaf "
"85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340930185791404,NA,0.507086058993185,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-094-1/SP101642 primary-low-vaf "
"83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341613719860668,NA,0.619673723614246,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-093-1/SP101634 primary-low-vaf "
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345844770218733,0,0.494803274418458,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-094-2/SP106641 new "
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35073830967885,NA,0.320230804340683,0.0871378190065987,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0.106142090913954,0,0,0,0,0,"AOCS-086-13/SP101606 new "
"92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361299262921995,NA,0.265062863376037,0,0,0,0,0,0,NA,0,0,NA,0,0.122607851002031,0,0,0,0,0,0,0,0.154610071651176,0,0,0,"PT189-primary_uterus primary-low-vaf "
"97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362147759037623,NA,0.32206615713043,0.119400479006838,0,0,NA,0.118591860270101,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-064-1/SP101552 primary-high-vaf "
"44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367296876263102,NA,0,0,0,0.399509974931589,NA,0,0,NA,0,0,NA,0,0.181767686680476,0,0,0,0,0,0,0,0,0,0,0,"AOCS-086-13/SP101606 new-binder "
"84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37509181495542,NA,0.55734729799051,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-093-12/SP101636 primary-low-vaf "
