"","Signature.1","Signature.2","Signature.3","Signature.4","Signature.5","Signature.6","Signature.7","Signature.8","Signature.9","Signature.10","Signature.11","Signature.12","Signature.13","Signature.14","Signature.15","Signature.16","Signature.17","Signature.18","Signature.19","Signature.20","Signature.21","Signature.22","Signature.23","Signature.24","Signature.25","Signature.26","Signature.27","Signature.28","Signature.29","Signature.30","Cisplatin..Gallus.gallus","Cyclophosphamide..Gallus.gallus","Etoposide..Gallus.gallus","Cisplatin..C..Elegans.wildtype","Cisplatin..C..Elegans.fan.1","Cisplatin..C..Elegans.fcd.2","Cisplatin..C..Elegans.lig.4","Cisplatin..C..Elegans.lig.4..fcd.2","Cisplatin..C..Elegans.mus.81","Cisplatin..C..Elegans.polq.1","Cisplatin..C..Elegans.slx.1","Cisplatin..C..Elegans.xpf.1","Sample"
"128",0,0,0.45100910515776,0,0,0,0,0.179087435650447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0904538786959714,0,0,0,0,0,0,0,0,0,0,"AOCS-139-17/SP101901 new"
"76",0,0,0.459749238230981,0,0,0,0,0.133034242069465,0,0,0,0,0,0,0,0.0734876221301823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-137-13/SP101871 all"
"16",0,0,0.463062801765412,0,0,0,0,0.284545422660906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075230200334026,0,0,0,0,0,0,0,0,0,0,"AOCS-064-13/SP101554 all"
"6",0,0,0.46362014656114,0,0,0,0,0,0,0,0,0,0.102135668203858,0,0,0,0,0,0.106926128793325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-034-13/SP101524 all"
"129",0,0,0.465730435300893,0,0,0,0,0.181526523752616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-139-4/SP101906 new"
"127",0,0,0.470709332053727,0,0,0,0,0.170598507699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-139-16/SP101896 new"
"117",0,0,0.486441132492053,0,0,0,0,0.0985198514059918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127928983449267,0,0,0,0,0,0,0,0,0,0,"AOCS-064-13/SP101554 new"
"79",0,0,0.488249434824614,0,0,0,0,0.198566132305702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-139-16/SP101896 all"
"81",0,0,0.489764618459073,0,0,0,0,0.200988706419258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-139-4/SP101906 all"
"121",0,0,0.491686087186173,0,0,0,0,0.0857324520585149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0990430861070659,0,0,0,0.0602550596604529,0,0,0,0,0,0,"AOCS-091-13/SP101624 new"
"114",0,0,0.499954799580265,0,0,0,0,0.200341350719705,0,0,0,0.0751987748669317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0793994806676875,0,0,0,0,0,0,0,0,0,0,"AOCS-171-1/SP102187 all"
"35",0,0,0.50416193256435,0,0,0,0,0.112480344462219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0685440683080031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-091-13/SP101624 all"
"34",0,0,0.509179914600982,0,0.111490347519917,0,0,0.204394778887433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-091-1/SP101622 all"
"30",0,0,0.515185723709786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099616436483011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-086-13/SP101606 all"
"124",0,0,0.516899866990253,0,0,0,0,0.163105312231698,0,0,0,0.0780539083618483,0.0615321003741982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-094-2/SP106641 new"
"126",0,0,0.543342097229158,0,0,0,0,0,0,0,0,0,0,0,0,0.0992647636214481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750991803809755,0,0,0,0,0,0,0,0,0,0,"AOCS-137-13/SP101871 new"
"61",0,0,0.547160132245651,0,0,0,0,0.117558812272111,0,0,0,0.0604050503416301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-120-13/SP101740 all"
"118",0,0,0.562300239855543,0,0,0,0,0.0792455755352325,0.0908685796866102,0,0,0,0,0,0,0,0,0,0.060979792825917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-065-13/SP101560 new"
"41",0,0,0.567906472078305,0,0,0,0,0,0.0902898267621984,0,0,0.108751787538055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-094-1/SP101642 all"
"40",0,0,0.610979736005302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0840382272931495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107613860484238,0,0,"AOCS-093-13/SP101638 all"
"89",0,0.0992684173528878,0.347416605189183,0,0,0,0,0.174190614694369,0,0,0,0,0.120647987408253,0,0,0.0622670903652713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-147-1/SP101981 all"
"42",0.0601676894937532,0,0.556167708636835,0,0,0,0,0.145675710136349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-094-2/SP106641 all"
"80",0.0603271292446777,0,0.475727499911371,0,0,0,0,0.2032160439681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769464821041549,0,0,"AOCS-139-17/SP101901 all"
"18",0.0630093709380662,0,0.479246666041042,0,0,0,0,0.214383052085033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-065-13/SP101560 all"
"115",0.0631368879531829,0,0.516248366548945,0,0,0,0,0.191631633911853,0,0,0,0.0672598436301713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714764606906907,0,0,0,0,0,0,0,0,0,0,"AOCS-171-12/SP102192 all"
"108",0.065943807026509,0,0.440643979711151,0,0,0,0,0.210716359864316,0,0,0,0,0,0,0,0.0688797121914076,0,0,0.0694972601843661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-167-16/SP102148 all"
"72",0.0674767961089681,0,0.436244653921302,0,0,0,0,0.16779223170361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-134-13/SP101845 all"
"105",0.0675625828842374,0,0,0.0749655245398755,0.19585876484993,0,0,0.202860373427369,0,0.0652416963306327,0,0,0,0.0824152864486886,0,0,0,0.163319723936799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-165-1/SP102123 all"
"66",0.0676364349719338,0,0.490193923222263,0,0,0,0,0.174304139750671,0,0,0,0,0,0,0,0.13048873028338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-126-1/SP101785 all"
"38",0.0680285148547545,0,0.648383378392629,0,0,0,0,0.0739547137440006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0861892260967464,0,0,"AOCS-093-1/SP101634 all"
"47",0.0692824921538054,0,0.404953138998351,0,0,0,0,0.195729268244146,0,0,0,0,0,0,0,0.128367391001854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-104-1/SP101662 all"
