"","Signature.1","Signature.2","Signature.3","Signature.4","Signature.5","Signature.6","Signature.7","Signature.8","Signature.9","Signature.10","Signature.11","Signature.12","Signature.13","Signature.14","Signature.15","Signature.16","Signature.17","Signature.18","Signature.19","Signature.20","Signature.21","Signature.22","Signature.23","Signature.24","Signature.25","Signature.26","Signature.27","Signature.28","Signature.29","Signature.30","Chicken.cisplatin","Chicken.cyclophosphamide","Chicken.etoposide","C.Elegans.Cisplatin","Sample"
"72",0.0670240061991343,0,0.457758402159795,0,0,0,0,0.174734098833365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-134-13/SP101845 all"
"105",0.0684476854388737,0,0,0.0832742259076034,0.1948092248321,0,0,0.198785668719927,0,0.0656529351573834,0,0,0,0.0856514216879799,0,0,0,0.150621654142619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-165-1/SP102123 all"
"17",0.0690035976292717,0,0.454259193747109,0,0.0690718642088313,0,0,0.253578815569514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-065-1/SP101558 all"
"43",0.0695792111225991,0,0.451644130889159,0,0,0,0,0.307162143466267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-095-1/SP101648 all"
"47",0.0703999942276339,0,0.426629779645965,0,0,0,0,0.185456159854674,0,0,0,0,0,0,0,0.135238738665688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-104-1/SP101662 all"
"66",0.0706256651524478,0,0.515207134538173,0,0,0,0,0.169594444096895,0,0,0,0,0,0,0,0.137147201615435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-126-1/SP101785 all"
"9",0.0714565416832842,0,0.373355483253983,0,0.194589043868564,0,0,0.197702073634378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-057-1/SP101530 all"
"49",0.0719372929317826,0,0.468285141788745,0,0.114505812569747,0,0,0.202308530372911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-106-1/SP101670 all"
"51",0.0724671236638446,0,0.491185031009529,0,0.108497431770162,0,0,0.133352909695358,0,0,0,0,0,0,0,0.0663682642573008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-108-1/SP101678 all"
"39",0.072986628792332,0,0.721465491220827,0,0,0,0,0.0981735743814089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-093-12/SP101636 all"
"38",0.0733821288528496,0,0.699408956976936,0,0,0,0,0.101759978464204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-093-1/SP101634 all"
"95",0.0775187665803187,0,0.487288165000032,0,0,0,0,0.188984946922504,0,0,0,0,0,0,0,0.0929099895579862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-153-1/SP102035 all"
"75",0.077698023580197,0,0.455417922169801,0,0,0,0,0.197494703872868,0,0,0,0.0631604156732457,0,0,0,0.0714354777105443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-137-12/SP101866 all"
"78",0.0783604899465986,0,0.537125993804101,0,0.0991851193647977,0,0,0.184187308408211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-139-1/SP101891 all"
"87",0.0793641610331117,0,0.491772421256844,0,0.0654239481375667,0,0,0.142241677386924,0,0,0,0,0,0,0,0.0722128495795459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-145-1/SP101961 all"
"86",0.0803751065625895,0,0.345470647397622,0,0,0,0,0.227270773382862,0,0,0,0,0.0658994917400439,0,0,0.0737423014616931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-144-1/SP101951 all"
"10",0.0812979966658103,0,0.426675060388252,0.0683517608089788,0,0,0,0.253539807305322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-058-1/SP101532 all"
"1",0.0816483771429737,0,0.426232990079153,0,0,0,0,0.151481833081386,0,0,0,0,0,0,0,0.142125079602154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-001-1/SP101515 all"
"48",0.0843780926487517,0,0.410743553608364,0,0,0,0,0.239857911424808,0,0,0,0,0,0,0,0.0881768422773467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-105-1/SP101666 all"
"5",0.0844770190130327,0,0.6328496591971,0,0,0,0,0,0,0,0,0,0,0,0,0.0894989895474222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-034-1/SP101523 all"
"94",0.0865775698005429,0,0.4542590703995,0,0,0,0,0.162404272495686,0,0,0,0,0,0,0,0.063779233474783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-152-1/SP102025 all"
"104",0.0869642315820629,0,0.554163751229016,0,0,0,0,0.0732777601650432,0,0,0,0,0,0,0,0.108390884167237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-164-1/SP102113 all"
"91",0.0873069074734427,0,0.563737847673936,0,0,0,0,0.0683903539950946,0,0,0,0,0,0,0,0.118158145602271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-149-1/SP102000 all"
"56",0.090980378817224,0,0.40912641061409,0,0,0,0,0.280180699407175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-114-1/SP101700 all"
"45",0.0912057139523459,0,0.119965572819869,0,0.361592863545082,0,0,0.278152994407435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-096-1/SP101654 all"
"14",0.0993746962117164,0,0.339400031228926,0,0,0,0,0.231659765480793,0,0,0,0,0,0,0,0.140776256258907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-063-1/SP101548 all"
"7",0.0994311520371293,0.0715040905885576,0.292034328867427,0,0,0,0,0,0,0,0,0,0.308129053784593,0,0,0.0959929464464494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-055-1/SP101526 all"
"85",0.0995789433613448,0,0.345534663490396,0,0,0,0,0.268544100586592,0,0,0,0,0,0,0,0.0883539739580312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-143-1/SP101941 all"
"33",0.102281999861545,0,0.526695623418082,0,0,0,0,0.168461157354873,0,0,0,0,0,0,0,0.0860359767900026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-090-1/SP101616 all"
"29",0.1049391503366,0,0.622968216218091,0,0.104153495613657,0,0,0.082982428580804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-086-1/SP101604 all"
"8",0.10663188736175,0,0.490868429068995,0,0,0,0,0.233800134241248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-056-1/SP101528 all"
"23",0.106651661548418,0,0.285790528501352,0,0.187758974034307,0,0,0.1976971752373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-079-1/SP101580 all"
